,file,label_name,label_code
0,../music/YUZU/mp3_data/ゆず『夏色』MUSIC VIDEO.mp3,YUZU,7
1,../music/YUZU/mp3_data/ゆず「イコール」Music Video.mp3,YUZU,7
2,../music/YUZU/mp3_data/ゆず「タッタ」.mp3,YUZU,7
3,../music/YUZU/mp3_data/ゆず「REASON」.mp3,YUZU,7
4,../music/YUZU/mp3_data/ゆず「かける」.mp3,YUZU,7
5,../music/YUZU/mp3_data/ゆず「3カウント」Music Video.mp3,YUZU,7
6,../music/YUZU/mp3_data/ゆず「LOVE & PEACH」Music Video.mp3,YUZU,7
7,../music/YUZU/mp3_data/ゆず「OLA!!」.mp3,YUZU,7
8,../music/YUZU/mp3_data/ゆず『NATSUMONOGATARI』Visualizer.mp3,YUZU,7
9,../music/YUZU/mp3_data/ゆず「うたエール」Music Video.mp3,YUZU,7
10,../music/YUZU/mp3_data/ゆず「友　〜旅立ちの時〜」.mp3,YUZU,7
11,../music/YUZU/mp3_data/ゆず『君を想う』MUSIC VIDEO.mp3,YUZU,7
12,../music/YUZU/mp3_data/ゆず「桜会」Music Video.mp3,YUZU,7
13,../music/YUZU/mp3_data/ゆず「HAMO」Music Video.mp3,YUZU,7
14,../music/YUZU/mp3_data/ゆず「GreenGreen」Music Video.mp3,YUZU,7
15,../music/YUZU/mp3_data/ゆず「栄光の架橋」Music Video.mp3,YUZU,7
16,../music/YUZU/mp3_data/ゆず「恋、弾けました。」Music Video(Movie Ver.).mp3,YUZU,7
17,../music/YUZU/mp3_data/ゆず「イロトリドリ」.mp3,YUZU,7
18,../music/YUZU/mp3_data/ゆず「表裏一体」.mp3,YUZU,7
19,../music/YUZU/mp3_data/ゆず『ALWAYS』MUSIC VIDEO.mp3,YUZU,7
20,../music/YUZU/mp3_data/ゆず『SUBWAY』MUSIC VIDEO.mp3,YUZU,7
21,../music/YUZU/mp3_data/ゆず『嗚呼、青春の日々』MUSIC VIDEO.mp3,YUZU,7
22,../music/YUZU/mp3_data/ゆず「アゲイン2」Music Video.mp3,YUZU,7
23,../music/YUZU/mp3_data/ゆず「マボロシ」Music Video.mp3,YUZU,7
24,../music/YUZU/mp3_data/ゆず『NATSUMONOGATARI』MUSIC VIDEO.mp3,YUZU,7
25,../music/YUZU/mp3_data/ゆず「ポケット」.mp3,YUZU,7
26,../music/YUZU/mp3_data/ゆず「雨のち晴レルヤ」.mp3,YUZU,7
27,../music/YUZU/mp3_data/ゆず「花咲ク街」Music Video(FULL ver.).mp3,YUZU,7
28,../music/YUZU/mp3_data/ゆず「守ってあげたい」.mp3,YUZU,7
29,../music/YUZU/mp3_data/ゆず「ストーリー」Music Video.mp3,YUZU,7
30,../music/YUZU/mp3_data/ゆず「TOWA」.mp3,YUZU,7
31,../music/YUZU/mp3_data/ゆず「公園通り」Music Video.mp3,YUZU,7
32,../music/YUZU/mp3_data/ゆず「愛こそ」Music Video.mp3,YUZU,7
33,../music/YUZU/mp3_data/ゆず「桜木町」Music Video.mp3,YUZU,7
34,../music/YUZU/mp3_data/ゆず「そのときには」Music Video.mp3,YUZU,7
35,../music/YUZU/mp3_data/ゆず「恋、弾けました。」Music Video.mp3,YUZU,7
36,../music/YUZU/mp3_data/ゆず『明日の君と』x Netflix 恋愛リアリティショー「未来日記」シーズン２コラボMUSIC VIDEO.mp3,YUZU,7
37,../music/YUZU/mp3_data/ゆず「LAND」.mp3,YUZU,7
38,../music/YUZU/mp3_data/ゆず『RAKUEN』MUSIC VIDEO.mp3,YUZU,7
39,../music/YUZU/mp3_data/ゆず『奇々怪界-KIKIKAIKAI-』MUSIC VIDEO.mp3,YUZU,7
40,../music/YUZU/mp3_data/ゆず「with you」Music Video.mp3,YUZU,7
41,../music/YUZU/mp3_data/ゆず「終わらない歌」.mp3,YUZU,7
42,../music/YUZU/mp3_data/ゆず「歩行者優先」Music Video.mp3,YUZU,7
43,../music/YUZU/mp3_data/ゆず「SEIMEI」Music Video.mp3,YUZU,7
44,../music/YUZU/mp3_data/ゆず「カナリア」.mp3,YUZU,7
45,../music/YUZU/mp3_data/ゆず「ヒカレ」.mp3,YUZU,7
46,../music/YUZU/mp3_data/ゆず「マスカット」Music Video.mp3,YUZU,7
47,../music/YUZU/mp3_data/ゆず「ひだまり」.mp3,YUZU,7
48,../music/YUZU/mp3_data/ゆず「うまく言えない」Music Video.mp3,YUZU,7
49,../music/YUZU/mp3_data/ゆず「公私混同」Official Audio.mp3,YUZU,7
50,../music/NAGABUCHI/mp3_data/三羽ガラス.mp3,NAGABUCHI,2
51,../music/NAGABUCHI/mp3_data/RUN.mp3,NAGABUCHI,2
52,../music/NAGABUCHI/mp3_data/NEVER CHANGE.mp3,NAGABUCHI,2
